"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"1574","박물관이살아있다",2006-12-21,"67 ","박물관이 살아있다!","장편",4612831,108,24401542200,4245247,683,56526,"일반영화","2006-12-21","미국","이십세기폭스코리아(주)","전체관람가",2,"코미디","어드벤처","",1,"숀 레비","","",2,"벤 스틸러","로빈 윌리엄스",""
"565","내아내의모든것",2012-05-17,"68 ","내 아내의 모든 것","장편",4598583,121,34223620500,4598821,563,91773,"일반영화","2012-05-17","한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",2,"코미디","멜로/로맨스","",1,"민규동","","",10,"임수정","이선균","류승룡"
"3652","터미네이터미래전쟁의시작",2009-05-21,"69 ","터미네이터 : 미래전쟁의 시작","장편",4568891,115,29690943500,4499776,702,93745,"일반영화","2009-05-21","미국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",2,"SF","액션","",1,"맥지","","",4,"크리스찬 베일","샘 워싱턴","문 블러드굿"
"1310","맘마미아",2008-09-03,"70 ","맘마미아!","장편",4554785,108,29677051750,4573862,458,111281,"일반영화","2008-09-03","미국","유니버설픽쳐스인터내셔널 코리아(유)","12세이상관람가",2,"멜로/로맨스","뮤지컬","",1,"필리다 로이드","","",3,"아만다 사이프리드","메릴 스트립","콜린 퍼스"
"2716","연가시",2012-07-05,"71 ","연가시","장편",4513026,109,32175400664,4515833,759,71928,"일반영화","2012-07-05","한국","씨제이이앤엠(주)","15세이상관람가",2,"공포(호러)","SF","",1,"박정우","","",25,"김명민","강지원","문정희"
"2458","아이언맨2",2010-04-29,"72 ","아이언맨 2","장편",4498335,125,32635195500,4425003,921,87665,"일반영화","2010-04-29","미국","씨제이엔터테인먼트(주)","12세이상관람가",3,"SF","액션","어드벤처",1,"존 파브로","","",5,"로버트 다우니 주니어","기네스 팰트로우","돈 치들"
"4069","해리포터와죽음의성물2",2011-07-13,"73 ","해리포터와 죽음의 성물2","장편",4400298,131,34507600000,4400270,757,70380,"일반영화","2011-07-13","미국","워너브러더스 (주)","전체관람가",2,"판타지","미스터리","",1,"데이빗 예이츠","","",3,"다니엘 래드클리프","엠마 왓슨","루퍼트 그린트"
"2457","아이언맨",2008-04-30,"74 ","아이언맨","장편",4316003,125,27880322500,4300287,597,78257,"일반영화","2008-04-30","미국","씨제이엔터테인먼트(주)","12세이상관람가",3,"SF","드라마","액션",1,"존 파브로","","",4,"로버트 다우니 주니어","테렌스 하워드","제프 브리지스"
"2659","엑스맨데이즈오브퓨처패스트",2014-05-22,"75 ","엑스맨: 데이즈 오브 퓨처 패스트","장편",4313446,134,34651695766,4313446,1056,82710,"일반영화","2014-05-22","미국","이십세기폭스코리아(주)","12세이상관람가",4,"액션","판타지","SF",1,"브라이언 싱어","","",6,"휴 잭맨","제임스 맥어보이","마이클 패스벤더"
"150","강철중공공의적11",2008-06-19,"76 ","강철중: 공공의 적 1-1","장편",4300670,127,28638460100,4313101,707,74157,"일반영화","2008-06-19","한국","씨제이엔터테인먼트(주),(주)시네마서비스","15세이상관람가",2,"드라마","액션","",1,"강우석","","",16,"설경구","정재영","강신일"
