Movie_Title	Release_Date	Nationality_First	Nationality	Production_Company	Distributor	Movie_Rate	Genre	Director	Actor
러시: 스트리트레이서	2014-08-21	러시아	러시아		(주)토러스엔터테인먼트	15세이상관람가	액션	올레그 페센코	알렉시 샤도프,마리나 알렉산드로바,엘비라 볼고바,스타니슬라브 본다렌코
로스트리전: 로마군단의 반란	2014-08-21	캐나다	캐나다		미디어소프트	청소년관람불가	액션	다비드 코카,페트르 큐빅	톰 맥케이,미쉘 룩스,브라이언 카스피,짐 하이
익스펜더블 3	2014-08-20	미국	미국		롯데쇼핑㈜롯데엔터테인먼트	15세이상관람가	액션,어드벤처,스릴러	패트릭 휴즈	실베스터 스탤론,제이슨 스타뎀,안토니오 반데라스,이연걸,웨슬리 스나입스,돌프 룬드그렌,멜 깁슨,해리슨 포드,아놀드 슈왈제네거
더 기버: 기억전달자	2014-08-20	미국	미국		(주)지어소프트	12세이상관람가	SF,드라마,판타지	필립 노이스	브렌튼 스웨이츠,테일러 스위프트,메릴 스트립,제프 브리지스,알렉산더 스카스가드,케이티 홈즈,카메론 모나한,오데야 러쉬
터널 3D	2014-08-20	한국	한국	(주)필마픽쳐스 ,(주)씨제이에스지 마당엔터테인먼트	(주)박수엔터테인먼트	15세이상관람가	공포(호러),스릴러	박규택,임경택	정유미,연우진,송재림,정시연,이태현,박지원,서종민
매직 인 더 문라이트	2014-08-20	미국	미국		(주)인벤트스톤	12세이상관람가	코미디,드라마,멜로/로맨스	우디 앨런	콜린 퍼스,엠마 스톤
내 연애의 기억	2014-08-20	한국	한국	(주)아이엠티브이	주식회사 디에스이이디	청소년관람불가	멜로/로맨스,코미디	이권	강예원,송새벽,우혜진,박그리나,박진하,이형
시실리 : 피의 전쟁	2014-08-20	미국	미국		스크린조이	15세이상관람가	스릴러	카를로 푸스코	스티븐 바우어,대니 글로버,마이클 매드슨
비키니 브레이크	2014-08-20	미국	미국		(주)도키엔터테인먼트	청소년관람불가	코미디,멜로/로맨스	자레드 콘	레이첼 알리그
신입사원 간보기	2014-08-20	일본	일본		(주)도키엔터테인먼트	청소년관람불가	성인물(에로)	칸바라 나오토	카와세 유키코
컨택트 킬 좀비	2014-08-20	미국	미국		(주)도키엔터테인먼트	청소년관람불가	코미디,공포(호러)	더스틴 리커트	폴 매카시 보잉턴
