Movie_Title	Release_Date	Revenue	Spectator_Number	Screen_Number	Play_Number	Nationality	All_Nationality	Distributor
매직 인 더 문라이트	2014-08-20	607214281	77284	194	4464	미국	미국	(주)인벤트스톤
매치 포인트	2006-04-13	845348600	127743	68	4019	영국	영국,미국	씨제이엔터테인먼트(주)
맥덜	2004-09-03	16913000	2824	17	257	홍콩	홍콩	(주)스폰지이엔티
맥덜	2004-09-03	2436000	917	1	60	홍콩	홍콩	(주)스폰지이엔티
맥베드	2013-07-04	5584000	1822	8	39	호주	호주	스크린조이
맥스 페인	2008-11-20	1631146500	258067	150	11794	미국	미국	이십세기폭스코리아(주)
맥시멈 컨빅션	2013-01-11	3165000	1500	1	6	미국	미국	(주)소나무픽쳐스
맥아더 : 일본 침몰에 관한 불편한 해석	2014-07-17	3527000	1543	5	11	미국	미국	(주)소나무픽쳐스
맥코리아	2012-10-18	25154000	3631	16	419	한국	한국	(주)씨타마운틴픽쳐스
맨 어바웃 타운	2009-06-18	5769000	812	1	39	미국	미국	실버스푼
맨 오브 스틸	2013-06-13	17092964063	2182227	998	55514	미국	미국	워너브러더스 (주)
맨 온 렛지	2012-02-22	4393531500	591841	408	22440	미국	미국	롯데쇼핑㈜롯데엔터테인먼트
맨 온 와이어	2010-02-04	8652500	1238	2	142	영국	영국,미국	(주)영화사 진진
맨 온 파이어	2004-09-24	1984024500	307751	61	7364	미국	미국	이십세기폭스필름코퍼레이션
맨 인 블랙 3	2012-05-24	27301520070	3379762	770	69538	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
맨데이트: 신이 주신 임무	2008-10-30	78955000	12144	89	2362	한국	한국	메가픽쳐스제이씨(주)
맨발의 기봉이	2006-04-26	12239242400	2005180	271	39975	한국	한국	쇼박스㈜미디어플렉스
맨발의 꿈	2010-06-24	2372787500	331945	332	17790	한국	한국,인도네시아,일본	쇼박스㈜미디어플렉스
맨츄리안 캔디데이트	2005-03-11	90074500	13826	47	1399	미국	미국	UIP코리아
맨홀	2014-10-08	1020004130	125692	286	9246	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
맹부삼천지교	2004-03-26	1424995500	229240	56	5254	한국	한국	씨제이엔터테인먼트(주)
머나먼 사랑	2004-02-13	24525500	3698	11	229	미국	미국	UIP코리아
머나먼 세상속으로	2014-07-31	3778000	580	5	66	프랑스	프랑스,벨기에,캐나다	(주)씨타마운틴픽쳐스
머니볼	2011-11-17	4677562000	641099	385	21961	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
머드	2013-11-28	206252500	28507	113	2008	미국	미국	(주)프레인글로벌
머신건 프리처	2012-05-24	197366500	26640	141	2152	미국	미국	(주)팝파트너스
머펫 대소동	2012-05-18	12375000	1495	1	17	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
먹고 기도하고 사랑하라	2010-09-30	3674965000	500266	324	22299	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
먹이사슬	2014-09-17	10224000	2070	20	46	한국	한국	노바엔터테인먼트
멋진 녀석들	2013-06-05	6439000	1534	5	48	미국	미국	(주)에이블엔터테인먼트
멋진 악몽	2012-04-19	59007000	7936	20	623	일본	일본	(주)씨타마운틴픽쳐스
멋진 인생	2011-06-09	23575200	3089	17	419	한국	한국	(주)영화사 조제
멋진 하루	2008-09-25	2583867500	396953	301	18024	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
메가 스파이더	2014-09-12	8065000	2519	21	33	미국	미국	(주)소나무픽쳐스
메가마인드	2011-01-13	8688842000	875631	414	22905	미국	미국	씨제이엔터테인먼트(주)
메디엄	2009-07-29	566108000	77848	156	5592	미국	미국	에스케이텔레콤(주)
메리 크리스마스	2007-12-20	29459000	4236	1	61	프랑스	프랑스,독일,영국,벨기에,루마니아,노르웨이	위드시네마
메리 크리스마스	2007-12-20	11337500	1657	1	68	프랑스	프랑스,독일,영국,벨기에,루마니아,노르웨이	위드시네마
메리다와 마법의 숲	2012-09-27	9024766000	1231024	479	22087	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
메리와 맥스	2011-12-22	25375000	3516	9	141	호주	호주	팝엔터테인먼트
메리와 맥스	2011-12-22	8941500	1357	9	161	호주	호주	팝엔터테인먼트
메모리즈	2012-12-13	6009000	849	6	88	일본	일본	에이원엔터테인먼트
메밀꽃, 운수 좋은 날, 그리고 봄봄	2014-08-21	199449200	29795	38	1697	한국	한국	이달투
메신져 - 죽은자들의 경고	2007-06-06	1576705000	245943	156	12243	미국	미국	(주)프라임엔터테인먼트
메이즈 러너	2014-09-18	19724985377	2575045	655	61851	미국	미국	이십세기폭스코리아(주)
메이지가 알고 있었던 일	2014-03-27	14549500	2117	22	180	미국	미국	(주)미디어데이
메이크 유어 무브	2014-04-17	73741600	9368	96	1467	한국	한국,미국	씨제이이앤엠(주)
메종 드 히미코	2006-01-26	578223500	87693	8	1383	일본	일본	스폰지
메종 드 히미코	2006-01-26	5111500	962	4	40	일본	일본	스폰지
메종 드 히미코	2006-01-26	2551000	401	2	19	일본	일본	스폰지
메카닉	2011-02-24	1666463000	217077	226	11051	미국	미국	씨너스엔터테인먼트(주)
메콩호텔	2014-02-13	6458000	1001	13	143	영국	영국,태국	(재)영화의 전당
메탈리카 스루 더 네버	2013-11-14	104274800	9438	30	360	미국	미국	(주)나이너스엔터테인먼트
메탈리카 스루 더 네버	2013-11-14	3654000	513	1	4	미국	미국	(주)나이너스엔터테인먼트
메튜 본의 백조의 호수 3D	2012-08-02	138224000	7359	15	351	영국	영국	(주)인스터피씨엠
메튜 본의 백조의 호수 3D	2012-08-02	28678000	2158	1	56	영국	영국	(주)인스터피씨엠
메트로: 마지막 탈출	2014-02-13	2880000	700	5	70	러시아	러시아	㈜싸이더스픽쳐스
멘탈	2010-04-08	2711000	393	2	57	일본	일본	(주)씨타마운틴픽쳐스
멜랑콜리아	2012-05-17	131975800	17856	21	764	덴마크	덴마크,스웨덴,이탈리아,독일,프랑스	(주)팝엔터테인먼트
멜랑콜리아	2012-05-17	3466000	393	1	3	덴마크	덴마크,스웨덴,이탈리아,독일,프랑스	(주)팝엔터테인먼트
멜랑콜리아	2012-05-17	2832883	370	2	9	덴마크	덴마크,스웨덴,이탈리아,독일,프랑스	(주)팝엔터테인먼트
멜로	2014-04-24	2664500	385	13	68	한국	한국	(주)박수엔터테인먼트
멤피스	2013-05-23	16307000	1094	5	106	미국	미국	(주)인스터피씨엠
멤피스	2013-05-23	4153500	491	12	24	미국	미국	(주)인스터피씨엠
명검	2014-09-04	5186000	1091	20	29	홍콩	홍콩	(주)케이알씨지
명랑한 갱이 지구를 움직인다	2007-11-08	8319500	1331	11	317	일본	일본	씨네가
명량	2014-07-30	1.35697E+11	17607180	1586	188478	한국	한국	씨제이이앤엠(주)
명왕성	2013-07-11	114550500	16835	78	1646	한국	한국	싸이더스 픽쳐스
명장	2008-01-30	2541533500	379949	235	13259	중국	중국	롯데쇼핑㈜롯데엔터테인먼트
명탐정 코난 : 수평선상의 음모	2013-08-07	2465133000	389873	316	8197	일본	일본	씨제이이앤엠(주)
명탐정 코난 : 이차원의 저격수	2014-08-06	2768375000	398606	299	6836	일본	일본	씨제이이앤엠(주)
명탐정 코난 : 칠흑의 추적자	2009-07-29	4185938500	651815	192	10066	일본	일본	에이원엔터테인먼트
명탐정 코난 : 침묵의 15분	2011-08-03	4212992000	644652	275	12017	일본	일본	(주)미디어데이
명탐정 코난 : 탐정들의 진혼가	2014-02-13	1199693100	182668	294	5500	일본	일본	씨제이이앤엠(주)
명탐정 코난: 11번째 스트라이커	2012-07-19	3363777000	524914	350	10687	일본	일본	씨제이이앤엠(주)
명탐정 코난: 천공의 난파선	2010-07-21	4002088500	618420	235	11902	일본	일본	에이원엔터테인먼트
명탐정 코난:베이커가의 망령	2008-05-01	711519500	122356	40	2370	일본	일본	투니버스(주)온미디어
명탐정 코난:베이커가의 망령	2008-05-01	5630000	906	1	32	일본	일본	투니버스(주)온미디어
명탐정 코난:은빛 날개의 마술사	2013-01-24	1158761500	176495	139	3661	일본	일본	씨제이이앤엠(주)
모나리자 스마일	2004-03-19	238920500	37280	18	1153	미국	미국	한국소니픽쳐스릴리징브에나비스타영화㈜
모노폴리	2006-06-01	2195709100	358299	136	11297	한국	한국	롯데쇼핑㈜롯데엔터테인먼트
모뉴먼츠 맨: 세기의 작전	2014-02-27	534071027	71487	320	6245	미국	미국,독일	이십세기폭스코리아(주)
모니카와의 여름	2013-07-04	4790000	605	1	39	스웨덴	스웨덴	㈜영화사 백두대간
모던보이	2008-10-02	4992149500	762337	371	28922	한국	한국	씨제이엔터테인먼트(주)
모두 하고 있습니까?	2004-08-06	15333000	2546	1	42	일본	일본	(주)스폰지이엔티
모두들, 괜찮아요?	2006-03-24	30810500	4699	27	580	한국	한국	씨제이엔터테인먼트(주)
모라토리움기의 다마코	2014-09-11	17114900	2250	11	176	일본	일본	오드
모래가 흐르는 강	2013-03-28	71055900	10942	20	428	한국	한국	(주)시네마달
모래와 안개의 집	2005-04-29	22249000	3404	26	473	미국	미국	미디어라인코리아
모모와 다락방의 수상한 요괴들	2012-07-05	1988264000	300174	253	7084	일본	일본	타임스토리그룹(주)
모범시민	2009-12-10	5854620000	796799	312	24341	미국	미국	(주)시너지하우스 (시너지)
모범시민	2009-12-10	22139500	3207	18	270	미국	미국	(주)시너지하우스 (시너지)
모비딕	2011-06-09	3264596000	430936	377	19894	한국	한국	쇼박스㈜미디어플렉스
모스트 원티드 맨	2014-08-07	127325100	15654	27	598	영국	영국,미국,독일	(주)드림웨스트픽쳐스,(주)인벤트스톤
모짜르트와 고래	2007-06-29	13357000	1954	2	92	미국	미국	(주)부귀영화
모차르트 락 오페라	2011-11-17	187776000	10105	21	392	한국	한국	에스케이플래닛(주)
